iter	Passed	Remaining
0	130	130284
1	131	65435
2	132	43903
3	133	33124
4	134	26668
5	135	22391
6	136	19316
7	137	17042
8	138	15244
9	139	13824
10	141	12677
11	142	11724
12	143	10911
13	144	10199
14	145	9578
15	146	9037
16	148	8559
17	148	8126
18	149	7743
19	151	7403
20	152	7096
21	153	6811
22	154	6548
23	155	6320
24	156	6099
25	157	5896
26	158	5712
27	160	5559
28	161	5396
29	162	5240
30	163	5099
31	164	4984
32	165	4859
33	166	4739
34	167	4627
35	168	4525
36	170	4425
37	171	4329
38	171	4237
39	173	4152
40	174	4071
41	175	3996
42	176	3930
43	177	3859
44	178	3793
45	179	3731
46	181	3671
47	182	3615
48	183	3560
49	184	3506
50	185	3456
51	186	3408
52	188	3360
53	189	3314
54	190	3269
55	191	3227
56	192	3187
57	194	3150
58	194	3108
59	195	3063
60	197	3032
61	198	3000
62	199	2968
63	200	2937
64	202	2909
65	203	2884
66	205	2856
67	205	2821
68	207	2793
69	208	2768
70	209	2744
71	210	2717
72	212	2694
73	213	2670
74	214	2645
75	215	2619
76	216	2594
77	217	2572
78	218	2549
79	219	2525
80	220	2502
81	221	2479
82	222	2457
83	223	2436
84	224	2412
85	225	2391
86	225	2367
87	226	2347
88	227	2327
89	228	2307
90	229	2288
91	230	2270
92	230	2252
93	231	2233
94	232	2215
95	233	2198
96	234	2180
97	235	2163
98	235	2146
99	236	2130
100	237	2113
101	237	2094
102	238	2077
103	239	2061
104	239	2045
105	240	2028
106	241	2013
107	241	1998
108	242	1983
109	243	1968
110	243	1953
111	244	1938
112	245	1924
113	245	1909
114	246	1896
115	246	1880
116	247	1867
117	248	1854
118	248	1840
119	249	1827
120	249	1814
121	250	1801
122	250	1786
123	251	1774
124	251	1761
125	252	1749
126	252	1737
127	253	1724
128	253	1712
129	254	1701
130	254	1690
131	255	1679
132	255	1667
133	256	1657
134	257	1646
135	257	1636
136	258	1626
137	258	1615
138	259	1605
139	259	1595
140	260	1585
141	260	1575
142	261	1566
143	261	1556
144	262	1547
145	263	1538
146	263	1529
147	264	1521
148	264	1512
149	265	1503
150	265	1494
151	266	1486
152	267	1478
153	267	1470
154	268	1462
155	268	1454
156	269	1445
157	269	1438
158	270	1430
159	271	1422
160	271	1415
161	272	1407
162	272	1400
163	273	1393
164	273	1386
165	274	1378
166	275	1371
167	275	1364
168	276	1358
169	276	1351
170	277	1344
171	277	1338
172	278	1331
173	279	1324
174	279	1318
175	280	1312
176	280	1305
177	281	1299
178	282	1293
179	282	1287
180	282	1280
181	283	1274
182	284	1268
183	284	1262
184	285	1256
185	285	1250
186	286	1244
187	286	1239
188	287	1233
189	288	1227
190	288	1222
191	289	1216
192	289	1211
193	290	1205
194	290	1200
195	291	1195
196	291	1189
197	292	1184
198	293	1179
199	293	1174
200	294	1169
201	294	1164
202	295	1159
203	295	1154
204	296	1149
205	296	1144
206	297	1139
207	298	1134
208	298	1129
209	299	1125
210	299	1120
211	300	1115
212	300	1110
213	301	1106
214	301	1101
215	302	1097
216	302	1092
217	303	1088
218	304	1084
219	304	1079
220	305	1075
221	305	1071
222	306	1067
