iter	Passed	Remaining
0	172	172137
1	175	87604
2	177	58987
3	179	44781
4	181	36194
5	183	30443
6	186	26400
7	187	23289
8	189	20873
9	191	18954
10	193	17400
11	195	16108
12	198	15040
13	200	14096
14	201	13260
15	203	12525
16	205	11900
17	208	11373
18	210	10881
19	213	10466
20	215	10041
21	218	9692
22	220	9369
23	223	9106
24	226	8827
25	228	8563
26	231	8331
27	233	8098
28	236	7908
29	238	7695
30	239	7495
31	241	7299
32	243	7147
33	246	6993
34	247	6835
35	250	6706
36	252	6562
37	254	6432
38	257	6337
39	259	6225
40	261	6120
41	264	6025
42	265	5918
43	267	5821
44	270	5733
45	272	5643
46	273	5548
47	275	5463
48	277	5389
49	279	5302
50	281	5232
51	283	5163
52	284	5088
53	286	5014
54	288	4957
55	290	4900
56	292	4837
57	293	4773
58	295	4714
59	297	4660
60	299	4603
61	300	4553
62	303	4506
63	304	4457
64	306	4411
65	308	4365
66	310	4321
67	312	4279
68	314	4242
69	316	4208
70	318	4170
71	320	4132
72	322	4095
73	324	4056
74	325	4019
75	327	3984
76	330	3957
77	332	3926
78	334	3896
79	335	3859
80	337	3824
81	338	3793
82	339	3753
83	340	3716
84	343	3693
85	345	3674
86	347	3645
87	349	3618
88	351	3595
89	352	3565
90	353	3534
91	355	3511
92	357	3490
93	360	3477
94	363	3463
95	366	3447
96	370	3447
97	372	3431
98	375	3416
99	378	3402
100	380	3384
101	382	3367
102	384	3347
103	385	3324
104	387	3303
105	389	3284
106	391	3265
107	392	3244
108	394	3222
109	396	3204
110	397	3181
111	398	3159
112	400	3140
113	402	3127
114	404	3109
115	405	3088
116	406	3069
117	408	3051
118	410	3037
119	412	3022
120	414	3007
121	415	2993
122	417	2978
123	419	2960
124	420	2943
125	421	2927
126	423	2913
127	424	2895
128	426	2878
129	427	2861
130	429	2847
131	431	2837
132	433	2826
133	435	2814
134	437	2804
135	439	2793
136	441	2782
137	444	2777
138	446	2768
139	448	2757
140	451	2748
141	452	2733
142	454	2724
143	456	2712
144	458	2703
145	460	2693
146	462	2681
147	463	2670
148	465	2658
149	467	2647
150	468	2635
151	470	2622
152	471	2610
153	473	2600
154	474	2588
155	476	2575
156	477	2563
157	479	2552
158	480	2541
159	482	2531
160	483	2517
161	484	2507
162	486	2496
163	487	2486
